question,leftCircle,rightCircle,image,arrowDirect,arrowColor,answer
1,green,red,arrow,right,red,right
2,red,green,arrow,left,red,left
3,red,green,rainbow,left,green,right
4,red,green,rainbow,right,green,right
5,green,red,rainbow,left,red,right
6,red,green,arrow,left,red,left
7,green,red,rainbow,left,green,left
8,red,green,arrow,right,red,right
9,red,green,rainbow,left,green,right
10,green,red,arrow,left,green,left
11,red,green,rainbow,right,green,right
12,red,green,arrow,left,green,left
13,green,red,arrow,right,red,right
14,red,green,rainbow,right,red,left
15,green,red,rainbow,left,red,right
16,red,green,rainbow,right,red,left
17,red,green,rainbow,left,red,left
18,red,green,arrow,right,green,right
19,green,red,rainbow,left,green,left
20,green,red,rainbow,right,red,right
21,red,green,arrow,right,green,right
22,red,green,rainbow,left,green,right
23,green,red,arrow,left,red,left
24,green,red,rainbow,right,red,right
25,red,green,arrow,right,red,right
26,red,green,rainbow,left,red,left
27,green,red,rainbow,right,green,left
28,green,red,arrow,right,green,right
29,green,red,rainbow,left,red,right
30,red,green,rainbow,right,green,right
